Name,Category
Katy Perry,Musicians
One Direction,Musicians
Howard Stern,Personalities
Garth Brooks,Musicians
James Patterson,Authors
Robert Downey Jr.,Actors
Taylor Swift,Musicians
Cristiano Ronaldo,Athletes
Rush Limbaugh,Personalities
Ellen DeGeneres,Personalities
Lionel Messi,Athletes
The Eagles,Musicians
Dr. Phil McGraw,Personalities
Roger Federer,Athletes
Calvin Harris,Musicians
LeBron James,Athletes
Justin Timberlake,Musicians
David Copperfield,Magicians
Sean (Diddy) Combs,Musicians
Gordon Ramsay,Personalities
Ryan Seacrest,Personalities
Fleetwood Mac,Musicians
Lady Gaga,Musicians
Rolling Stones,Musicians
Ed Sheeran,Musicians
Jay-Z,Musicians
Beyonce Knowles,Musicians
Kevin Durant,Athletes
Elton John,Musicians
Toby Keith,Musicians
Kim Kardashian,Personalities
Jennifer Lawrence,Actresses
Paul McCartney,Musicians
